10ClassKind,Depth,icd10Code,icd10Chapter,icd10Title,11ClassKind,Depth,ICD-11 Foundation URI,Linearization (release) URI,icd11Code,icd11Chapter,icd11Title,07/02/2022
category,2,B02.0,I,Zoster encephalitis,category,2,http://id.who.int/icd/entity/154094552,http://id.who.int/icd/release/11/2022-02/mms/415880883,1E91.3,01,Zoster with central nervous system involvement,
category,2,B02.1,I,Zoster meningitis,category,2,http://id.who.int/icd/entity/1818527310,http://id.who.int/icd/release/11/2022-02/mms/415880883,1E91.3,01,Zoster with central nervous system involvement,
category,2,B02.2,I,Zoster with other nervous system involvement,category,2,http://id.who.int/icd/entity/1778898783,http://id.who.int/icd/release/11/2022-02/mms/1778898783,1E91.4,01,Acute neuropathy of cranial nerve due to zoster,
category,2,B02.2,I,Zoster with other nervous system involvement,category,2,http://id.who.int/icd/entity/215270562,http://id.who.int/icd/release/11/2022-02/mms/415880883,1E91.3,01,Zoster with central nervous system involvement,
category,2,B02.2,I,Zoster with other nervous system involvement,category,2,http://id.who.int/icd/entity/912466759,http://id.who.int/icd/release/11/2022-02/mms/912466759,1E91.40,01,Acute trigeminal zoster neuropathy,
category,2,B02.2,I,Zoster with other nervous system involvement,category,2,http://id.who.int/icd/entity/115616439,http://id.who.int/icd/release/11/2022-02/mms/115616439,1E91.41,01,Acute herpetic geniculate ganglionitis,
category,2,B06.0,I,Rubella with neurological complications,category,2,http://id.who.int/icd/entity/1261684403,http://id.who.int/icd/release/11/2022-02/mms/869374630,1F02.0/1C80,01,Rubella with neurological complications / Viral encephalitis not elsewhere classified,
category,2,B44.8,I,Other forms of aspergillosis,category,2,http://id.who.int/icd/entity/2019158769,http://id.who.int/icd/release/11/2022-02/mms/2019158769,1F20.01,01,Invasive cerebral aspergillosis,
category,2,B45.1,I,Cerebral cryptococcosis,category,2,http://id.who.int/icd/entity/393575368,http://id.who.int/icd/release/11/2022-02/mms/393575368,1F27.1,01,Cerebral cryptococcosis,
category,2,B46.1,I,Rhinocerebral mucormycosis,category,2,http://id.who.int/icd/entity/385014776,http://id.who.int/icd/release/11/2022-02/mms/1676389165,1F2C,01,Mucormycosis,
category,2,B50.0,I,Plasmodium falciparum malaria with cerebral complications,category,2,http://id.who.int/icd/entity/1143114898,http://id.who.int/icd/release/11/2022-02/mms/1143114898,1F40.0,01,Plasmodium falciparum malaria with cerebral complications,
category,2,B57.4,I,Chagas disease (chronic) with nervous system involvement,category,2,http://id.who.int/icd/entity/2014854841,http://id.who.int/icd/release/11/2022-02/mms/1365585570/unspecified,1F53.Z,01,"Chagas disease, unspecified",
category,2,B69.0,I,Cysticercosis of central nervous system,category,2,http://id.who.int/icd/entity/487162814,http://id.who.int/icd/release/11/2022-02/mms/487162814,1F70.0,01,Cysticercosis of central nervous system,
category,2,B90.0,I,Sequelae of central nervous system tuberculosis,category,2,http://id.who.int/icd/entity/2070210082,http://id.who.int/icd/release/11/2022-02/mms/1968623900,1G80,01,Sequelae of tuberculosis,
block,2,C00-C75,II,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",category,2,http://id.who.int/icd/entity/1643222460,http://id.who.int/icd/release/11/2022-02/mms/1643222460/unspecified,2D3Z,02,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues, unspecified",
block,1,C00-C97,II,Malignant neoplasms,block,1,http://id.who.int/icd/entity/2009008947,http://id.who.int/icd/release/11/2022-02/mms/2009008947,,02,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",
category,2,C25.4,II,Malignant neoplasm: Endocrine pancreas,category,2,http://id.who.int/icd/entity/1421495979,http://id.who.int/icd/release/11/2022-02/mms/1421495979,2C10.1,02,Neuroendocrine neoplasms of pancreas,
category,1,C44,II,Other malignant neoplasms of skin,category,1,http://id.who.int/icd/entity/1020467726,http://id.who.int/icd/release/11/2022-02/mms/680322043,2C34,02,Cutaneous neuroendocrine carcinoma,
category,1,C47,II,Malignant neoplasm of peripheral nerves and autonomic nervous system,category,1,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.0,II,"Malignant neoplasm: Peripheral nerves of head, face and neck",category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.1,II,"Malignant neoplasm: Peripheral nerves of upper limb, including shoulder",category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.2,II,"Malignant neoplasm: Peripheral nerves of lower limb, including hip",category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.3,II,Malignant neoplasm: Peripheral nerves of thorax,category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.4,II,Malignant neoplasm: Peripheral nerves of abdomen,category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.5,II,Malignant neoplasm: Peripheral nerves of pelvis,category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.6,II,"Malignant neoplasm: Peripheral nerves of trunk, unspecified",category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.8,II,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system,category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.9,II,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified",category,2,http://id.who.int/icd/entity/442019384,http://id.who.int/icd/release/11/2022-02/mms/442019384/unspecified,2C4Z,02,"Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified",
category,2,C47.9,II,"Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified",category,2,http://id.who.int/icd/entity/71413945,http://id.who.int/icd/release/11/2022-02/mms/71413945,2A02.10,02,Malignant peripheral nerve sheath tumour of cranial or paraspinal nerves,
block,3,C69-C72,II,"Malignant neoplasms of eye, brain and other parts of central nervous system",category,3,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
block,3,C69-C72,II,"Malignant neoplasms of eye, brain and other parts of central nervous system",category,3,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,C70.0,II,Malignant neoplasm: Cerebral meninges,category,2,http://id.who.int/icd/entity/1297170956,http://id.who.int/icd/release/11/2022-02/mms/1297170956,2A01.2,02,Primary neoplasm of meninges of unknown or unspecified type,
category,1,C71,II,Malignant neoplasm of brain,category,1,http://id.who.int/icd/entity/1711526170,http://id.who.int/icd/release/11/2022-02/mms/1711526170,2A00.11,02,Central primitive neuroectodermal tumour,
category,2,C71.0,II,"Malignant neoplasm: Cerebrum, except lobes and ventricles",category,2,http://id.who.int/icd/entity/677986724,http://id.who.int/icd/release/11/2022-02/mms/677986724,2A00.5,02,Primary neoplasm of brain of unknown or unspecified type,
category,2,C71.5,II,Malignant neoplasm: Cerebral ventricle,category,2,http://id.who.int/icd/entity/677986724,http://id.who.int/icd/release/11/2022-02/mms/677986724,2A00.5,02,Primary neoplasm of brain of unknown or unspecified type,
category,2,C71.6,II,Malignant neoplasm: Cerebellum,category,2,http://id.who.int/icd/entity/1247650801,http://id.who.int/icd/release/11/2022-02/mms/1247650801,2A00.3,02,Central neurocytoma of brain,
category,2,C71.6,II,Malignant neoplasm: Cerebellum,category,2,http://id.who.int/icd/entity/677986724,http://id.who.int/icd/release/11/2022-02/mms/677986724,2A00.5,02,Primary neoplasm of brain of unknown or unspecified type,
category,2,C71.6,II,Malignant neoplasm: Cerebellum,category,2,http://id.who.int/icd/entity/1247650801,http://id.who.int/icd/release/11/2022-02/mms/1247650801,2A00.3,02,Central neurocytoma of brain,
category,1,C72,II,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",category,1,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,1,C72,II,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",category,1,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,1,C72,II,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",category,1,http://id.who.int/icd/entity/536502490,http://id.who.int/icd/release/11/2022-02/mms/536502490,2A02.00,02,"Glioblastoma of spinal cord, cranial nerves or other parts of central nervous system",
category,2,C72.0,II,Malignant neoplasm: Spinal cord,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.1,II,Malignant neoplasm: Cauda equina,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.2,II,Malignant neoplasm: Olfactory nerve,category,2,http://id.who.int/icd/entity/213211648,http://id.who.int/icd/release/11/2022-02/mms/1352310002/unspecified,2A02.1Z,02,"Tumours of cranial or paraspinal nerves, unspecified",
category,2,C72.2,II,Malignant neoplasm: Olfactory nerve,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.3,II,Malignant neoplasm: Optic nerve,category,2,http://id.who.int/icd/entity/1830847427,http://id.who.int/icd/release/11/2022-02/mms/1830847427,2A02.12,02,Malignant neoplasm of the optic nerve,
category,2,C72.3,II,Malignant neoplasm: Optic nerve,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.4,II,Malignant neoplasm: Acoustic nerve,category,2,http://id.who.int/icd/entity/437258238,http://id.who.int/icd/release/11/2022-02/mms/1352310002/unspecified,2A02.1Z,02,"Tumours of cranial or paraspinal nerves, unspecified",
category,2,C72.4,II,Malignant neoplasm: Acoustic nerve,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.5,II,Malignant neoplasm: Other and unspecified cranial nerves,category,2,http://id.who.int/icd/entity/1352310002,http://id.who.int/icd/release/11/2022-02/mms/1352310002/unspecified,2A02.1Z,02,"Tumours of cranial or paraspinal nerves, unspecified",
category,2,C72.5,II,Malignant neoplasm: Other and unspecified cranial nerves,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.8,II,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,C72.9,II,"Malignant neoplasm: Central nervous system, unspecified",category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,C79.3,II,Secondary malignant neoplasm of brain and cerebral meninges,category,2,http://id.who.int/icd/entity/15093038,http://id.who.int/icd/release/11/2022-02/mms/15093038,2D51,02,Malignant neoplasm metastasis in meninges,
category,2,C79.3,II,Secondary malignant neoplasm of brain and cerebral meninges,category,2,http://id.who.int/icd/entity/577085257,http://id.who.int/icd/release/11/2022-02/mms/577085257,2D50,02,Malignant neoplasm metastasis in brain,
category,2,C79.4,II,Secondary malignant neoplasm of other and unspecified parts of nervous system,category,2,http://id.who.int/icd/entity/1458482846,http://id.who.int/icd/release/11/2022-02/mms/1458482846,2E09,02,Malignant neoplasm metastasis in peripheral nervous system,
category,2,C79.4,II,Secondary malignant neoplasm of other and unspecified parts of nervous system,category,2,http://id.who.int/icd/entity/800171581,http://id.who.int/icd/release/11/2022-02/mms/800171581,2D52,02,"Malignant neoplasm metastasis in spinal cord, cranial nerves or remaining parts of central nervous system",
block,1,D10-D36,II,Benign neoplasms,category,1,http://id.who.int/icd/entity/1167133946,http://id.who.int/icd/release/11/2022-02/mms/1167133946/unspecified,2F5Z,02,"Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues, unspecified",
category,2,D32.0,II,Benign neoplasm: Cerebral meninges,category,2,http://id.who.int/icd/entity/1297170956,http://id.who.int/icd/release/11/2022-02/mms/1297170956,2A01.2,02,Primary neoplasm of meninges of unknown or unspecified type,
category,1,D33,II,Benign neoplasm of brain and other parts of central nervous system,category,1,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,1,D33,II,Benign neoplasm of brain and other parts of central nervous system,category,1,http://id.who.int/icd/entity/1719389232,http://id.who.int/icd/release/11/2022-02/mms/1719389232,2A00,02,Primary neoplasms of brain,
category,1,D33,II,Benign neoplasm of brain and other parts of central nervous system,category,1,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.2,II,"Benign neoplasm: Brain, unspecified",category,2,http://id.who.int/icd/entity/1792897751,http://id.who.int/icd/release/11/2022-02/mms/1792897751,2A00.21,02,Mixed neuronal-glial tumours,
category,2,D33.3,II,Benign neoplasm: Cranial nerves,category,2,http://id.who.int/icd/entity/759634326,http://id.who.int/icd/release/11/2022-02/mms/759634326,2A02.3,02,Benign neoplasm of cranial nerves,
category,2,D33.3,II,Benign neoplasm: Cranial nerves,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.4,II,Benign neoplasm: Spinal cord,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.7,II,Benign neoplasm: Other specified parts of central nervous system,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.7,II,Benign neoplasm: Other specified parts of central nervous system,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.9,II,"Benign neoplasm: Central nervous system, unspecified",category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D33.9,II,"Benign neoplasm: Central nervous system, unspecified",category,2,http://id.who.int/icd/entity/677986724,http://id.who.int/icd/release/11/2022-02/mms/677986724,2A00.5,02,Primary neoplasm of brain of unknown or unspecified type,
category,2,D36.1,II,Benign neoplasm: Peripheral nerves and autonomic nervous system,category,2,http://id.who.int/icd/entity/447192322,http://id.who.int/icd/release/11/2022-02/mms/164118119/unspecified,2F3Z,02,Benign non-mesenchymal neoplasms of unspecified site,
category,2,D36.9,II,Benign neoplasm: Benign neoplasm of unspecified site,category,2,http://id.who.int/icd/entity/1167133946,http://id.who.int/icd/release/11/2022-02/mms/1167133946/unspecified,2F5Z,02,"Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues, unspecified",
category,1,D42,II,Neoplasm of uncertain or unknown behaviour of meninges,category,1,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D42.0,II,Neoplasm of uncertain or unknown behaviour: Cerebral meninges,category,2,http://id.who.int/icd/entity/1297170956,http://id.who.int/icd/release/11/2022-02/mms/1297170956,2A01.2,02,Primary neoplasm of meninges of unknown or unspecified type,
category,1,D43,II,Neoplasm of uncertain or unknown behaviour of brain and central nervous system,category,1,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D43.3,II,Neoplasm of uncertain or unknown behaviour: Cranial nerves,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D43.3,II,Neoplasm of uncertain or unknown behaviour: Cranial nerves,category,2,http://id.who.int/icd/entity/1501519274,http://id.who.int/icd/release/11/2022-02/mms/1501519274,2A02,02,"Primary neoplasm of spinal cord, cranial nerves or remaining parts of central nervous system",
category,2,D43.4,II,Neoplasm of uncertain or unknown behaviour: Spinal cord,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D43.7,II,Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system,category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D43.9,II,"Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified",category,2,http://id.who.int/icd/entity/879154182,http://id.who.int/icd/release/11/2022-02/mms/879154182/unspecified,2A0Z,02,Other and unspecified neoplasms of brain or central nervous system,
category,2,D48.2,II,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system,category,2,http://id.who.int/icd/entity/1844086508,http://id.who.int/icd/release/11/2022-02/mms/1844086508/unspecified,2F9Z,02,Neoplasms of unknown behaviour of unspecified site,
category,2,D48.2,II,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system,category,2,http://id.who.int/icd/entity/1158485193,http://id.who.int/icd/release/11/2022-02/mms/1158485193/unspecified,2F7Z,02,Neoplasms of uncertain behaviour of unspecified site,
category,2,D86.8,III,Sarcoidosis of other and combined sites,category,2,http://id.who.int/icd/entity/2078362164,http://id.who.int/icd/release/11/2022-02/mms/1479285656,4B20.3,04,Neurosarcoidosis,
category,2,E00.0,IV,"Congenital iodine-deficiency syndrome, neurological type",category,2,http://id.who.int/icd/entity/209316576,http://id.who.int/icd/release/11/2022-02/mms/900488632,5A00.04,05,Congenital hypothyroidism due to iodine deficiency,
modifiedcategory,2,E10.4,IV,Type 1 diabetes mellitus with neurological complications,category,2,http://id.who.int/icd/entity/702044482,http://id.who.int/icd/release/11/2022-02/mms/1651053999,5A10,05,Type 1 diabetes mellitus,
modifiedcategory,2,E11.4,IV,Type 2 diabetes mellitus with neurological complications,category,2,http://id.who.int/icd/entity/119724091,http://id.who.int/icd/release/11/2022-02/mms/119724091,5A11,05,Type 2 diabetes mellitus,
modifiedcategory,2,E12.4,IV,Malnutrition-related diabetes mellitus with neurological complications,category,2,http://id.who.int/icd/entity/1150913605,http://id.who.int/icd/release/11/2022-02/mms/1150913605,5A12,05,Malnutrition-related diabetes mellitus,
modifiedcategory,2,E13.4,IV,Other specified diabetes mellitus with neurological complications,category,2,http://id.who.int/icd/entity/381961554,http://id.who.int/icd/release/11/2022-02/mms/381961554,5A13,05,"Diabetes mellitus, other specified type",
modifiedcategory,2,E14.4,IV,Unspecified diabetes mellitus with neurological complications,category,2,http://id.who.int/icd/entity/1697306310,http://id.who.int/icd/release/11/2022-02/mms/1697306310,5A14,05,"Diabetes mellitus, type unspecified",
category,2,E56.0,IV,Deficiency of vitamin E,category,2,http://id.who.int/icd/entity/1642989368,http://id.who.int/icd/release/11/2022-02/mms/2053072995,8D40.1,08,Neuropathy due to nutritional deficiency,
category,2,E61.7,IV,Deficiency of multiple nutrient elements,category,2,http://id.who.int/icd/entity/1365839560,http://id.who.int/icd/release/11/2022-02/mms/2053072995,8D40.1,08,Neuropathy due to nutritional deficiency,
category,2,E63.9,IV,"Nutritional deficiency, unspecified",category,2,http://id.who.int/icd/entity/1343568028,http://id.who.int/icd/release/11/2022-02/mms/96676503/unspecified,8D40.Z,08,"Neurological disorders due to nutrient deficiency, unspecified",
category,2,E63.9,IV,"Nutritional deficiency, unspecified",category,2,http://id.who.int/icd/entity/2053072995,http://id.who.int/icd/release/11/2022-02/mms/2053072995,8D40.1,08,Neuropathy due to nutritional deficiency,
